opis_id,name,address,city,state,rack_id,retail_price,latitude,longitude,geocode_quality
69448,STRIPES #42525,"I-27/US-87, EXIT 2",Lubbock,TX,700,2.95733333,33.59852,-101.84371,ADDRESS
72752,QUIKTRIP #7178,I-65 EXIT 13 & SR 158,Saraland,AL,715,2.95733333,30.79521,-88.07427,ADDRESS
68332,CIRCLE K #2701526,"I-40, EXIT 208",Colfax,NC,65,2.95733333,36.09357,-80.00104,INTERSECTION
65037,CIRCLE K #2707783,"I-20, EXIT 114 & SR-617",West Monroe,LA,719,2.95733333,32.51534,-92.15745,ADDRESS
70333,KWIK STAR #932,"I-80, EXIT 143 & CR-S14",Altoona,IA,320,2.959,41.65261,-93.46456,ADDRESS
71027,Kwik Star #1068,I-35,Story City,IA,320,2.959,42.24555,-93.57055,STREET
7299,GASPERS - FAST LANE,"I-70, EXIT 148 & US-54",Kingdom City,MO,392,2.959,38.9443,-91.94489,POINT
61804,CARTERS ONE STOP,"I-95 & SR-301, EXIT 31 & SR-40",Stony Creek,VA,180,2.959,36.9397,-77.39278,INTERSECTION
72014,CEFCO #1086,US-259,Longview,TX,766,2.959,32.572495,-94.734849,POINT
72066,CIRCLE K #2741094,SR-46,Seguin,TX,740,2.959,29.60558,-98.01092,STREET
68441,QUIKTRIP #1106,US-76,Anderson,SC,30,2.959,34.56072,-82.6946,STREET
52528,QUIKTRIP #150,"I-70, EXIT 28",Oak Grove,MO,400,2.959,39.0162,-94.13256,INTERSECTION
5391,PWI #605,"I-10, EXIT 378",San Simon,AZ,640,2.959,32.26985,-109.24493,INTERSECTION
70699,QUIK STOP,US-79,Paris,TN,490,2.959,36.31441,-88.28738,STREET
72639,ALLSUPS #2423,US-377 & US-70,Madill,OK,253,2.959,34.09975,-96.78245,ADDRESS
52313,CIRCLE K #2723445,"I-20, EXIT 5A & US-61/SR-27",Vicksburg,MS,760,2.959,32.34873,-90.82568,POINT
4199,PWI #574,"I-70, EXIT 193/US-40",Bunker Hill,KS,357,2.959,38.85714,-98.71136,INTERSECTION
72998,83 FUEL STOP,US-83,Catarina,TX,693,2.959,28.2999,-99.61415,STREET
71132,CEFCO #104,US-259 & SR-315,Mount Enterprise,TX,618,2.959,31.9253,-94.68307,INTERSECTION
6165,TEMP STOP #117,I-70 & GRAIN VALLEY RD EXIT 24,Grain Valley,MO,400,2.959,39.02014,-94.2105,ADDRESS
72243,Racetrac #2611,"I-65, EXIT 116",Shepherdsville,KY,415,2.959,37.97453,-85.69603,INTERSECTION
71637,HORSESHOE #4,SR-114,Smyer,TX,700,2.959,33.58385,-102.16772,STREET
71673,7-ELEVEN #41792,"I-85, EXIT 27",Anderson,SC,30,2.959,40.08934,-85.68025,ADDRESS
72380,EXXPRESS MART #12,US-287 & SR-421,Lumberton,TX,610,2.959,30.2725,-94.22648,ADDRESS
72264,CIRCLE K #2654249,SR 24 & SR 286,Paris,TX,723,2.959,33.65902,-95.5563,ADDRESS
69365,Circle K #4703911,SR-109 & SR-52,Portland,TN,460,2.959,36.57669,-86.51455,INTERSECTION
69662,STRIPES 7FLEET #42472,US-377,Brownwood,TX,575,2.96233333,31.73019,-98.97571,STREET
588,TA TUSCALOOSA TRAVEL CENTER,"I-20/I-59, EXIT 77",Cottondale,AL,615,2.964,33.17281,-87.45245,INTERSECTION
65036,WAVERLY TRUCKSTOP,"I-20, EXIT 157 & SR-577",Delhi,LA,719,2.964,32.44174,-91.40995,ADDRESS
1889,TOOT N TOTUM #105,US-54 & US-287,Stratford,TX,585,2.96566666,36.33246,-102.07377,ADDRESS
66259,CEFCO #48,"I-35, EXIT 304",Temple,TX,765,2.96566666,31.12181,-97.3516,POINT
70645,QUIKTRIP #4048,"I-410, EXIT164B",San Antonio,TX,740,2.96566666,29.52036,-98.49241,STREET
70691,QUIKTRIP #4049,"I-10/US-90, EXIT 583",San Antonio,TX,740,2.96566666,29.4415,-98.37105,STREET
72879,QUIKTRIP #4002,US-87,Comfort,TX,595,2.96566666,29.93894,-98.87001,STREET
71859,ALLSUPS #2415,SR 6,Meridian,TX,765,2.96566666,31.9159,-97.66614,STREET
71282,QuikTrip #4128,SR-71,Bastrop,TX,595,2.96566666,30.10544,-97.3297,STREET
70505,STRIPES #42593,LOOP 289 & MLK BLVD,Lubbock,TX,700,2.96566666,33.52964,-101.89755,STREET
63621,FUEL CITY FRIENDLYS,"I-35E, EXIT 435",Dallas,TX,630,2.96566666,32.58279,-96.82273,ADDRESS
69588,FUEL CITY,"I-30, EXIT 52B & US-80",Mesquite,TX,630,2.96566666,32.79936,-96.6736,INTERSECTION
71912,FUEL CITY WYLIE,SR-78,Wylie,TX,630,2.96566666,33.02274,-96.51209,STREET
66059,TIME OUT TRAVEL CENTER,"I-40, EXIT 432-B",Newport,TN,405,2.96566666,35.96864,-83.25061,INTERSECTION
70136,FUEL CITY SAGINAW,CR-156,Fort Worth,TX,630,2.96566666,32.75095,-97.33086,CITY
6093,ONE9 #901,"I-80 & US-183, EXIT 257",Elm Creek,NE,330,2.96566666,40.68682,-99.38009,ADDRESS
65666,FUEL CITY #2,"I-30, EXIT 45B/I-35E",Dallas,TX,630,2.96566666,32.8102,-96.84797,STREET
71253,QUIKTRIP #4066,"I-35, EXIT 122 & SR-173",Devine,TX,740,2.96566666,29.13992,-98.90518,ADDRESS
72182,LULING MINI MART,I-10 Exit 628 & SR-80,Luling,TX,595,2.96566666,29.67403,-97.64836,ADDRESS
72175,ALLSUPS #2410,"I-35/US-77, EXIT 368 & SR-22",Whitney,TX,765,2.96566666,31.95188,-97.32183,CITY
64408,QUIKTRIP #4058,"I-37, EXIT 125 & SR-1604",San Antonio,TX,740,2.96566666,29.42355,-98.26232,ADDRESS
72022,CEFCO #65,US-84 & FM-116,Gatesville,TX,765,2.96566666,31.43308,-97.78311,INTERSECTION
70765,CEFCO #103,SR-36,Temple,TX,765,2.96566666,31.04073,-97.31984,STREET
69475,GUTHRIE TRAVEL CENTER,I-35 EXT 138C,Guthrie,OK,483,2.96566666,35.90174,-97.39396,STREET
69106,SPINX #201,"I-185, EXIT 1A, I-385, EXIT 30",Simpsonville,SC,30,2.96566666,34.75024,-82.29586,INTERSECTION
71455,ALLSUPS CONVENIENCE STORE #2043,US-62,Idalou,TX,700,2.96566666,33.66666,-101.67739,STREET
72479,CEFCO #2086,US 180 & 84,Snyder,TX,700,2.96566666,32.71266,-100.89334,ADDRESS
69821,FUEL CITY HALTOM CITY,"I-35W, EXIT 52B & TX-121",Haltom City,TX,630,2.96566666,32.78858,-97.25762,STREET
72015,CEFCO #1096,US-82,Paris,TX,723,2.96566666,33.6633,-95.46961,STREET
72017,CEFCO #1102,SR-24 & SR-286,Paris,TX,723,2.96566666,33.65902,-95.5563,ADDRESS
71461,ALLSUPS CONVENIENCE STORE #2111,US-87 &,Texline,TX,585,2.96566666,36.37788,-103.0243,STREET
71679,TOOT N TOTUM #22,FM 1541 & FM 1151,Amarillo,TX,585,2.96733333,35.09134,-101.84828,INTERSECTION
68992,SHORT STOP #24,US-24,Saint Marys,KS,553,2.96733333,39.1942,-96.0714,STREET
72895,Allsups#2465,SR 7,Davis,OK,569,2.96733333,34.50649,-97.10718,STREET
73106,ALLSUPS CONVENIENCE STORE #2472,US-75,Atoka,OK,253,2.96733333,34.37957,-96.13113,STREET
72432,Yesway #1203,SR-6,Clifton,TX,765,2.969,31.77735,-97.57431,STREET
72873,QUIKTRIP #7206,I-39 EXIT 15 & US 20,Rockford,IL,520,2.969,42.27425,-88.94041,ADDRESS
65441,HUTCH'S #103,SR-6 & SR-66,Elk City,OK,483,2.969,35.41171,-99.40508,ADDRESS
70429,BP,SR-76,Adel,GA,10,2.969,31.14437,-83.35686,STREET
68343,HUTCH'S #119,I-40 EXIT 40,Elk City,OK,483,2.969,35.40491,-99.38585,INTERSECTION
65652,CIRCLE K #2706343,"I-20, EXIT 428",Fort Worth,TX,630,2.969,32.68117,-97.39341,STREET
52534,LEES FOOD MART #1122,"I-75, EXIT 122 & SR-61",Clinton,TN,405,2.969,36.0984,-84.13269,ADDRESS
72410,KELLEYS MARKET,I-90 Exit 15 & US-20 BUS,Rockford,IL,520,2.969,42.2727,-88.96471,INTERSECTION
66456,TEXACO #383124,SR-70,Saint James,LA,623,2.969,30.09548,-90.92684,STREET
70543,ALLSUPS CONVENIENCE STORE #2078,US-60,White Deer,TX,585,2.969,35.43663,-101.1704,STREET
69149,BLU STATION- LAMAR AVE,"I-240, EXIT 30",Memphis,TN,435,2.969,35.14793,-90.02223,INTERSECTION
67715,HUTCH'S #109,"I-40, EXIT 38",Elk City,OK,483,2.969,35.38738,-99.40576,INTERSECTION
2078,ALLSUPS CONVENIENCE STORE #2366,US-84 & CR-3300,Slaton,TX,700,2.969,33.55747,-101.67464,STREET
70744,CASEYS #3686,I-80 EXIT 81,Utica,IL,296,2.969,41.36751,-89.01536,INTERSECTION
65444,TXB #24 dba Kwik Chek Food Stores,US-70,Hugo,OK,253,2.969,33.99496,-95.52619,STREET
69156,BLU STATION,"I-55, EXIT 5A",Memphis,TN,435,2.969,35.06138,-90.01987,INTERSECTION
72501,QUIKTRIP #7203,"I-80, EXIT 75 &SR-251",Peru,IL,520,2.969,41.36713,-89.12557,INTERSECTION
66680,BIG TOP TRAVEL CENTER,"I-20, EXIT 157",Delhi,LA,760,2.969,32.43223,-91.42526,INTERSECTION
7058,YESWAY #1125,"I-27, EXIT 1C",Lubbock,TX,700,2.969,33.67488,-101.83594,STREET
72769,TOOT N TOTUM #132,US 84,Lubbock,TX,585,2.97066666,33.58115,-101.85521,STREET
1265,JOE JOES TRAVEL CENTER,US-78 & RED BANKS RD S,Red Banks,MS,435,2.97233333,34.82392,-89.56458,ADDRESS
72495,ROAD RANGER #286,1-40 EXIT 77,Amarillo,TX,585,2.97233333,35.18712,-101.97347,POINT
64683,QUIKTRIP #777,"I-20, EXIT 49",Atlanta,GA,18,2.97233333,33.95658,-83.9834,ADDRESS
70214,RACETRAC #688,I-20 & SR-6,Lithia Springs,GA,18,2.97233333,33.78913,-84.62296,STREET
68993,SHORT STOP #22,SR-15,Clay Center,KS,316,2.97233333,39.3677,-97.12464,STREET
65188,GAS MART,"US-78, EXIT 14 & SR-309",Byhalia,MS,435,2.97233333,34.87419,-89.68866,ADDRESS
71800,Stuckeys Travel Plaza,"I-44, EXIT 179",Newburg,MO,535,2.97233333,37.94505,-91.88811,INTERSECTION
72685,CHUBBYS TRAVEL CENTER,"I-35, Exit 127",Natalia,TX,740,2.97233333,29.17859,-98.84883,INTERSECTION
71990,Allsups #2418,US-84,Snyder,TX,612,2.97233333,32.80082,-100.96655,STREET
71472,ALLSUPS CONVENIENCE STORE #2276,HWY 84 & CR-466,Hermleigh,TX,612,2.97233333,32.63822,-100.76134,ADDRESS
63667,CIRCLE K #2723875,SR-41/SR-45,Jamestown,SC,42,2.974,33.28634,-79.69412,INTERSECTION
63587,24/7 TRAVEL PLAZA,"I-135, EXIT 92",Salina,KS,523,2.974,38.82361,-97.63816,INTERSECTION
69673,QUIKTRIP #1863,"SEC HWY 114, I-35",Roanoke,TX,630,2.97566666,33.01621,-97.23485,ADDRESS
66793,CIRCLE K #2723693,"I-526, EXIT 19 & SR-10-60",Charleston,SC,42,2.97566666,32.85803,-80.02339,POINT
